Sum of Age,Sum of CommuteDistance,CommuteMode,Dept,EduLevel,Count of EmpID,EmpType,Gender,Sum of Experience,haveOT,JobLevel,Sum of JobSatisfaction,MaritalStatus,Sum of NumCompanies,Sum of NumReports,Sum of PhysicalActivityHours,Sum of SleepHours,Sum of Stress,Sum of TeamSize,Sum of TrainingHoursPerYear,Sum of WLB,Sum of WorkEnv,Sum of Workload
47,8,Bike,Marketing,Bachelor,1,Full-Time,Other,17,FALSE,Senior,4,Single,8,6,2,7,1,17,48,3,3,5
97,20,Bike,Marketing,Bachelor,3,Part-Time,Female,19,FALSE,Mid,13,Single,9,0,4,22,5,35,100,14,11,10
28,10,Bike,Marketing,Bachelor,1,Part-Time,Female,6,FALSE,Senior,5,Married,2,4,0,10,1,25,43,4,4,4
57,5,Bike,Marketing,Bachelor,1,Part-Time,Male,7,FALSE,Lead,4,Married,11,9,3,9,1,29,54,3,1,3
40,10,Bike,Marketing,Bachelor,1,Part-Time,Male,9,FALSE,Mid,4,Married,6,0,1,7,2,11,34,4,2,1
48,8,Bike,Marketing,Bachelor,1,Part-Time,Male,18,TRUE,Mid,3,Divorced,8,0,1,7,2,11,39,4,3,3
23,4,Bike,Marketing,High School,1,Contract,Female,1,FALSE,Intern/Fresher,3,Single,0,0,2,6,1,23,10,3,1,1
49,1,Bike,Marketing,Master,1,Contract,Male,22,FALSE,Mid,5,Divorced,9,0,1,6,1,10,41,5,2,3
39,10,Bike,Marketing,Master,1,Full-Time,Male,7,FALSE,Senior,3,Married,5,4,2,7,2,20,44,3,1,4
36,2,Bike,Marketing,Master,1,Part-Time,Female,14,FALSE,Senior,3,Married,4,3,1,6,1,15,47,4,2,3
50,9,Bike,Operations,Bachelor,1,Contract,Female,11,FALSE,Lead,2,Married,9,5,1,6,2,26,56,2,4,1
27,4,Bike,Operations,Bachelor,1,Contract,Female,5,FALSE,Senior,4,Single,1,2,2,7,1,18,42,5,5,5
50,4,Bike,Operations,Bachelor,1,Contract,Male,11,FALSE,Lead,4,Married,9,8,2,5,1,28,56,5,5,3
57,12,Bike,Operations,Bachelor,2,Full-Time,Female,13,FALSE,Junior,6,Single,4,0,2,15,2,11,47,9,6,10
151,17,Bike,Operations,Bachelor,3,Full-Time,Female,77,FALSE,Lead,13,Married,27,17,5,21,4,78,188,11,10,10
41,4,Bike,Operations,Bachelor,1,Full-Time,Female,12,FALSE,Lead,4,Single,6,4,2,7,2,29,56,2,5,4
47,9,Bike,Operations,Bachelor,1,Full-Time,Female,2,FALSE,Mid,4,Divorced,8,0,1,8,3,10,31,2,1,2
44,7,Bike,Operations,Bachelor,1,Full-Time,Female,7,FALSE,Mid,4,Married,7,0,1,5,1,13,34,1,4,3
100,11,Bike,Operations,Bachelor,3,Full-Time,Female,23,FALSE,Senior,12,Married,11,13,10,21,5,56,131,7,9,9
62,20,Bike,Operations,Bachelor,2,Full-Time,Female,12,FALSE,Senior,5,Single,5,18,1,14,3,45,86,7,6,5
45,11,Bike,Operations,Bachelor,2,Full-Time,Male,1,FALSE,Intern/Fresher,6,Single,0,0,6,16,2,52,20,4,5,4
52,5,Bike,Operations,Bachelor,2,Full-Time,Male,8,FALSE,Junior,9,Single,2,0,4,14,2,16,44,9,6,4
108,9,Bike,Operations,Bachelor,2,Full-Time,Male,26,FALSE,Lead,5,Divorced,20,11,4,13,5,56,114,4,10,8
105,14,Bike,Operations,Bachelor,2,Full-Time,Male,33,FALSE,Lead,5,Married,19,11,4,12,2,48,117,8,3,8
110,11,Bike,Operations,Bachelor,3,Full-Time,Male,35,FALSE,Mid,10,Married,14,0,6,22,6,37,108,12,8,13
40,8,Bike,Operations,Bachelor,1,Full-Time,Male,1,FALSE,Mid,4,Single,6,0,2,8,3,15,30,5,1,3
34,6,Bike,Operations,Bachelor,1,Full-Time,Male,12,FALSE,Senior,5,Divorced,4,7,2,9,1,18,46,2,5,1
172,16,Bike,Operations,Bachelor,4,Full-Time,Male,55,FALSE,Senior,10,Married,26,11,4,27,6,76,189,9,16,18
54,8,Bike,Operations,Bachelor,1,Full-Time,Male,29,TRUE,Lead,1,Married,10,4,1,7,2,27,64,2,3,5
33,3,Bike,Operations,Bachelor,1,Full-Time,Male,4,TRUE,Senior,4,Married,3,1,0,6,1,19,42,2,5,1
23,2,Bike,Operations,Bachelor,1,Full-Time,Other,1,FALSE,Intern/Fresher,5,Single,0,0,1,5,2,23,10,4,5,1
40,2,Bike,Operations,Bachelor,1,Full-Time,Other,18,FALSE,Senior,4,Single,6,7,2,7,4,17,49,4,2,1
42,1,Bike,Operations,Bachelor,1,Full-Time,Other,4,TRUE,Mid,2,Single,6,0,4,7,1,13,32,3,3,2
53,8,Bike,Operations,Bachelor,2,Part-Time,Female,9,FALSE,Junior,9,Single,2,0,2,14,2,15,45,6,7,4
36,3,Bike,Operations,Bachelor,1,Part-Time,Female,14,FALSE,Mid,3,Married,4,0,2,7,1,12,37,1,2,4
50,10,Bike,Operations,Bachelor,1,Part-Time,Female,15,FALSE,Senior,1,Divorced,9,7,3,7,1,18,48,1,2,5
51,8,Bike,Operations,Bachelor,1,Part-Time,Female,4,FALSE,Senior,2,Married,9,1,3,7,1,21,42,2,5,3
35,4,Bike,Operations,Bachelor,1,Part-Time,Female,13,FALSE,Senior,4,Single,4,1,0,6,1,24,46,4,1,1
67,13,Bike,Operations,Bachelor,2,Part-Time,Female,10,TRUE,Senior,5,Married,7,13,4,13,3,48,84,7,4,3
52,13,Bike,Operations,Bachelor,2,Part-Time,Male,8,FALSE,Junior,6,Single,2,0,3,14,7,15,44,3,6,10
87,15,Bike,Operations,Bachelor,2,Part-Time,Male,18,FALSE,Senior,8,Married,13,3,4,14,2,40,90,6,4,4
36,8,Bike,Operations,Bachelor,1,Part-Time,Other,14,FALSE,Senior,4,Single,4,9,4,5,1,16,47,3,5,3
23,4,Bike,Operations,High School,1,Contract,Male,1,FALSE,Intern/Fresher,5,Single,0,0,2,6,2,25,10,4,4,3
50,3,Bike,Operations,High School,2,Full-Time,Female,6,FALSE,Junior,7,Single,1,0,7,13,4,13,42,8,9,9
22,2,Bike,Operations,High School,1,Full-Time,Male,0,FALSE,Intern/Fresher,4,Single,0,0,2,8,1,21,10,3,2,4
22,10,Bike,Operations,High School,1,Full-Time,Male,0,FALSE,Junior,4,Single,0,0,4,6,1,9,20,5,5,3
22,8,Bike,Operations,High School,1,Part-Time,Female,0,FALSE,Intern/Fresher,3,Single,0,0,2,7,3,21,10,1,2,2
53,1,Bike,Operations,Master,1,Contract,Female,14,FALSE,Lead,4,Married,10,6,1,7,2,28,57,4,5,3
40,4,Bike,Operations,Master,1,Contract,Male,16,FALSE,Lead,5,Single,6,8,2,8,3,24,58,4,5,4
88,15,Bike,Operations,Master,2,Full-Time,Female,8,FALSE,Senior,8,Single,14,10,3,14,2,41,84,6,5,4
34,10,Bike,Operations,Master,1,Full-Time,Male,12,FALSE,Senior,4,Married,4,1,3,7,2,20,46,2,4,2
40,2,Bike,Operations,Master,1,Full-Time,Male,16,TRUE,Mid,4,Married,6,0,2,8,1,11,38,2,3,2
33,1,Bike,Operations,Master,1,Full-Time,Other,10,FALSE,Senior,3,Single,3,7,3,6,1,21,45,3,4,5
107,5,Bike,Operations,Master,2,Part-Time,Female,25,TRUE,Lead,2,Married,20,10,3,11,5,43,113,4,9,5
51,8,Bike,Operations,PhD,1,Contract,Male,17,FALSE,Lead,1,Married,9,6,2,5,1,30,58,1,1,1
106,12,Bike,Operations,PhD,2,Full-Time,Female,29,FALSE,Lead,8,Married,20,10,5,15,2,49,114,7,7,8
60,4,Bike,Operations,PhD,1,Full-Time,Female,21,TRUE,Lead,3,Divorced,12,6,2,8,4,22,60,1,4,2
50,1,Bike,Operations,PhD,1,Full-Time,Male,12,FALSE,Lead,4,Married,9,3,1,7,2,25,56,2,1,1
27,7,Bike,Sales,Bachelor,1,Contract,Female,5,FALSE,Junior,3,Single,1,0,1,8,2,10,22,4,1,2
34,7,Bike,Sales,Bachelor,1,Contract,Male,2,FALSE,Senior,3,Married,4,2,1,6,3,19,41,4,1,4
22,4,Bike,Sales,Bachelor,1,Full-Time,Female,0,FALSE,Intern/Fresher,3,Single,0,0,3,6,1,21,10,2,3,3
77,13,Bike,Sales,Bachelor,3,Full-Time,Female,11,FALSE,Junior,9,Single,2,0,8,21,7,28,65,9,8,10
64,16,Bike,Sales,Bachelor,2,Full-Time,Female,16,FALSE,Mid,5,Married,6,0,3,14,2,26,68,8,5,9
24,8,Bike,Sales,Bachelor,1,Full-Time,Female,2,FALSE,Mid,3,Single,0,0,2,6,1,11,31,1,5,3
37,4,Bike,Sales,Bachelor,1,Full-Time,Female,15,FALSE,Senior,3,Divorced,5,5,2,8,1,15,48,4,2,2
105,15,Bike,Sales,Bachelor,2,Full-Time,Female,20,FALSE,Senior,5,Married,20,13,3,12,2,42,90,6,2,7
36,9,Bike,Sales,Bachelor,1,Full-Time,Female,14,FALSE,Senior,4,Single,4,6,3,7,2,15,47,2,2,1
22,3,Bike,Sales,Bachelor,1,Full-Time,Female,0,TRUE,Intern/Fresher,1,Single,0,0,3,7,3,27,10,1,2,4
54,17,Bike,Sales,Bachelor,2,Full-Time,Female,5,TRUE,Senior,5,Single,2,7,4,15,5,34,83,9,7,10
79,29,Bike,Sales,Bachelor,3,Full-Time,Male,13,FALSE,Junior,12,Single,3,0,6,21,4,24,67,11,10,10
113,11,Bike,Sales,Bachelor,3,Full-Time,Male,47,FALSE,Mid,10,Married,15,0,5,22,4,41,114,11,11,11
85,9,Bike,Sales,Bachelor,2,Full-Time,Male,32,FALSE,Mid,8,Single,13,0,4,15,3,25,76,3,7,7
68,5,Bike,Sales,Bachelor,2,Full-Time,Male,19,FALSE,Senior,8,Married,8,13,4,13,4,41,89,7,7,6
32,1,Bike,Sales,Bachelor,1,Full-Time,Male,10,FALSE,Senior,1,Single,3,3,3,6,3,15,45,1,4,4
28,3,Bike,Sales,Bachelor,1,Full-Time,Other,6,FALSE,Junior,3,Single,2,0,2,6,1,9,23,4,2,4
31,3,Bike,Sales,Bachelor,1,Full-Time,Other,8,FALSE,Mid,4,Single,3,0,2,7,1,13,34,1,1,2
118,22,Bike,Sales,Bachelor,3,Part-Time,Male,35,FALSE,Senior,9,Married,16,10,6,21,6,53,138,8,10,12
27,2,Bike,Sales,Bachelor,1,Part-Time,Male,5,TRUE,Junior,5,Single,1,0,1,7,1,5,22,4,1,5
23,9,Bike,Sales,High School,1,Full-Time,Female,1,FALSE,Intern/Fresher,4,Single,0,0,3,5,1,26,10,5,5,4
22,3,Bike,Sales,High School,1,Full-Time,Male,0,FALSE,Junior,5,Single,0,0,1,8,2,8,20,5,3,1
23,4,Bike,Sales,High School,1,Full-Time,Other,1,FALSE,Intern/Fresher,2,Single,0,0,1,7,2,25,10,3,1,1
30,4,Bike,Sales,Master,1,Full-Time,Female,8,FALSE,Senior,4,Married,2,2,2,6,1,19,44,3,3,4
52,9,Bike,Sales,Master,1,Full-Time,Female,24,TRUE,Lead,3,Married,10,4,1,7,1,21,62,2,4,1
34,7,Bike,Sales,Master,1,Full-Time,Male,12,FALSE,Senior,3,Married,4,1,1,7,1,18,46,3,5,1
44,1,Bike,Sales,Master,1,Full-Time,Male,11,FALSE,Senior,5,Single,7,1,3,7,1,25,46,4,3,2
50,3,Bike,Sales,Master,1,Part-Time,Female,14,FALSE,Lead,5,Married,9,9,2,7,3,29,57,1,2,1
53,7,Bike,Sales,PhD,1,Full-Time,Female,25,FALSE,Lead,4,Divorced,10,8,2,9,2,21,62,5,2,5
94,11,Bike,Sales,PhD,2,Full-Time,Female,27,FALSE,Lead,7,Married,16,11,4,15,6,45,114,6,7,7
23,5,Car,Customer Service,Bachelor,1,Contract,Male,1,FALSE,Intern/Fresher,4,Single,0,0,3,6,2,27,10,4,3,3
112,35,Car,Customer Service,Bachelor,3,Contract,Male,31,FALSE,Senior,13,Married,14,12,5,20,3,60,135,10,7,9
32,6,Car,Customer Service,Bachelor,1,Contract,Male,10,FALSE,Senior,4,Single,3,8,0,7,1,24,45,1,4,5
45,46,Car,Customer Service,Bachelor,2,Full-Time,Female,1,FALSE,Intern/Fresher,6,Single,0,0,4,14,2,48,20,7,6,5
74,43,Car,Customer Service,Bachelor,3,Full-Time,Female,8,FALSE,Junior,12,Single,2,0,6,23,3,22,64,11,7,11
182,57,Car,Customer Service,Bachelor,4,Full-Time,Female,64,FALSE,Mid,9,Married,30,0,11,23,4,45,151,7,13,9
27,27,Car,Customer Service,Bachelor,1,Full-Time,Female,2,FALSE,Mid,4,Single,1,0,2,8,1,12,31,1,2,3
49,6,Car,Customer Service,Bachelor,1,Full-Time,Female,5,FALSE,Senior,2,Divorced,9,6,2,7,1,16,42,3,1,1
37,15,Car,Customer Service,Bachelor,1,Full-Time,Female,15,TRUE,Senior,4,Married,5,6,3,6,1,22,48,1,5,1
36,15,Car,Customer Service,Bachelor,1,Full-Time,Female,10,TRUE,Senior,3,Single,4,9,4,5,2,25,45,4,1,4
22,16,Car,Customer Service,Bachelor,1,Full-Time,Male,0,FALSE,Intern/Fresher,2,Single,0,0,1,7,1,25,10,2,4,1
48,8,Car,Customer Service,Bachelor,1,Full-Time,Male,19,FALSE,Mid,4,Divorced,8,0,4,8,1,11,40,3,3,5
43,22,Car,Customer Service,Bachelor,1,Full-Time,Male,21,FALSE,Mid,3,Married,7,0,1,5,1,11,40,4,3,5
40,8,Car,Customer Service,Bachelor,1,Full-Time,Male,14,FALSE,Mid,5,Single,6,0,1,6,1,11,37,5,5,2
191,107,Car,Customer Service,Bachelor,5,Full-Time,Male,66,FALSE,Senior,19,Married,26,13,10,36,8,102,233,10,16,11
28,14,Car,Customer Service,Bachelor,1,Full-Time,Male,6,TRUE,Junior,4,Single,2,0,3,8,2,10,23,5,3,3
41,15,Car,Customer Service,Bachelor,1,Full-Time,Male,11,TRUE,Lead,1,Married,6,2,2,6,3,24,56,1,3,3
44,18,Car,Customer Service,Bachelor,1,Full-Time,Male,16,TRUE,Mid,5,Married,7,0,3,6,3,14,38,4,1,1
23,10,Car,Customer Service,Bachelor,1,Part-Time,Female,1,FALSE,Intern/Fresher,1,Single,0,0,3,7,3,30,10,1,4,4
32,14,Car,Customer Service,Bachelor,1,Part-Time,Female,10,FALSE,Mid,4,Married,3,0,0,7,1,12,35,4,4,5
52,12,Car,Customer Service,Bachelor,1,Part-Time,Female,27,FALSE,Senior,4,Married,10,2,2,6,2,15,54,5,2,4
29,11,Car,Customer Service,Bachelor,1,Part-Time,Male,1,FALSE,Junior,1,Single,2,0,3,6,1,6,20,3,2,5
65,44,Car,Customer Service,Bachelor,2,Part-Time,Male,12,FALSE,Senior,8,Married,6,2,4,15,3,36,86,7,4,6
27,7,Car,Customer Service,Bachelor,1,Part-Time,Other,4,FALSE,Junior,2,Single,1,0,2,6,1,10,22,2,3,3
38,17,Car,Customer Service,Bachelor,1,Part-Time,Other,16,FALSE,Mid,2,Single,5,0,2,6,2,13,38,1,3,4
25,29,Car,Customer Service,High School,1,Full-Time,Female,3,TRUE,Junior,5,Single,1,0,3,7,1,6,22,2,1,4
24,9,Car,Customer Service,High School,1,Full-Time,Male,2,FALSE,Junior,4,Single,0,0,1,8,3,5,21,3,1,2
53,16,Car,Customer Service,Master,1,Full-Time,Female,26,FALSE,Lead,1,Married,10,6,1,6,1,20,63,1,1,2
41,14,Car,Customer Service,Master,1,Full-Time,Other,16,FALSE,Senior,3,Single,6,4,2,8,1,16,48,3,3,1
40,12,Car,Customer Service,Master,1,Part-Time,Female,14,FALSE,Lead,4,Divorced,6,8,2,5,1,24,57,5,3,5
53,11,Car,Customer Service,PhD,1,Full-Time,Female,9,FALSE,Lead,1,Married,10,4,3,8,3,30,54,2,1,4
54,25,Car,Customer Service,PhD,1,Full-Time,Male,22,TRUE,Lead,1,Married,10,2,3,6,1,26,61,1,2,2
24,8,Car,Finance,Bachelor,1,Contract,Female,1,FALSE,Junior,4,Single,0,0,2,8,2,8,20,1,3,3
99,25,Car,Finance,Bachelor,2,Contract,Female,42,FALSE,Lead,9,Married,18,9,2,13,2,47,120,6,8,6
72,21,Car,Finance,Bachelor,2,Contract,Female,28,FALSE,Mid,8,Married,9,0,3,15,6,24,74,6,5,2
24,9,Car,Finance,Bachelor,1,Contract,Female,2,FALSE,Mid,2,Single,0,0,4,7,2,15,31,5,5,3
71,30,Car,Finance,Bachelor,2,Contract,Female,15,FALSE,Senior,9,Married,9,14,7,13,4,37,87,5,9,8
28,10,Car,Finance,Bachelor,1,Contract,Female,6,FALSE,Senior,2,Single,2,5,4,5,3,17,43,5,1,2
51,23,Car,Finance,Bachelor,1,Contract,Female,18,TRUE,Senior,4,Married,9,3,1,6,1,17,49,3,4,4
23,5,Car,Finance,Bachelor,1,Contract,Male,1,FALSE,Intern/Fresher,4,Single,0,0,0,8,3,22,10,5,2,1
26,9,Car,Finance,Bachelor,1,Contract,Male,4,FALSE,Junior,4,Single,1,0,3,8,3,6,22,5,3,2
50,18,Car,Finance,Bachelor,1,Contract,Male,7,FALSE,Lead,1,Married,9,9,3,5,3,21,54,1,3,5
65,45,Car,Finance,Bachelor,2,Contract,Male,13,FALSE,Mid,5,Single,6,0,4,14,5,29,67,5,4,8
48,15,Car,Finance,Bachelor,1,Contract,Male,9,FALSE,Senior,2,Divorced,8,7,2,7,3,17,44,4,4,4
56,5,Car,Finance,Bachelor,1,Contract,Male,21,FALSE,Senior,4,Married,11,6,2,6,1,20,50,4,4,2
24,26,Car,Finance,Bachelor,1,Contract,Male,2,FALSE,Senior,4,Single,0,1,1,6,1,19,41,2,5,4
102,64,Car,Finance,Bachelor,4,Full-Time,Female,14,FALSE,Junior,16,Married,4,0,9,26,6,31,88,12,12,12
320,194,Car,Finance,Bachelor,12,Full-Time,Female,50,FALSE,Junior,40,Single,14,0,26,84,16,83,266,29,27,33
99,34,Car,Finance,Bachelor,2,Full-Time,Female,29,FALSE,Lead,9,Divorced,17,12,5,15,2,50,114,4,6,7
48,27,Car,Finance,Bachelor,1,Full-Time,Female,2,FALSE,Lead,5,Married,8,2,2,8,1,28,51,1,5,1
37,8,Car,Finance,Bachelor,1,Full-Time,Female,15,FALSE,Mid,5,Divorced,5,0,2,6,2,11,38,1,2,4
296,107,Car,Finance,Bachelor,8,Full-Time,Female,91,FALSE,Mid,29,Married,37,0,15,57,17,101,286,27,25,26
208,90,Car,Finance,Bachelor,6,Full-Time,Female,40,FALSE,Mid,21,Single,22,0,15,43,11,85,200,21,18,17
132,45,Car,Finance,Bachelor,3,Full-Time,Female,52,FALSE,Senior,10,Divorced,21,20,7,21,6,65,147,8,8,5
672,234,Car,Finance,Bachelor,16,Full-Time,Female,187,FALSE,Senior,54,Married,101,73,35,113,34,304,734,47,52,46
131,93,Car,Finance,Bachelor,4,Full-Time,Female,35,FALSE,Senior,18,Single,12,18,6,27,4,91,177,15,14,10
22,18,Car,Finance,Bachelor,1,Full-Time,Female,0,TRUE,Junior,3,Single,0,0,3,7,1,7,20,4,4,1
70,10,Car,Finance,Bachelor,2,Full-Time,Female,15,TRUE,Mid,8,Married,8,0,4,12,3,25,67,7,7,2
38,8,Car,Finance,Bachelor,1,Full-Time,Female,16,TRUE,Senior,3,Married,5,9,3,6,2,16,48,2,5,4
22,28,Car,Finance,Bachelor,1,Full-Time,Male,0,FALSE,Intern/Fresher,3,Single,0,0,0,8,3,30,10,1,2,4
129,102,Car,Finance,Bachelor,5,Full-Time,Male,13,FALSE,Junior,17,Single,5,0,15,36,9,40,106,15,14,17
163,38,Car,Finance,Bachelor,3,Full-Time,Male,58,FALSE,Lead,12,Married,31,11,8,21,5,76,180,10,11,6
40,17,Car,Finance,Bachelor,1,Full-Time,Male,17,FALSE,Lead,5,Single,6,5,1,8,1,20,58,3,5,2
96,54,Car,Finance,Bachelor,3,Full-Time,Male,15,FALSE,Mid,10,Married,9,0,8,21,7,42,98,11,9,8
387,199,Car,Finance,Bachelor,11,Full-Time,Male,71,FALSE,Mid,40,Single,43,0,26,76,24,137,366,27,28,24
39,11,Car,Finance,Bachelor,1,Full-Time,Male,17,FALSE,Senior,3,Divorced,5,1,2,8,1,20,48,1,1,4
545,231,Car,Finance,Bachelor,13,Full-Time,Male,146,FALSE,Senior,48,Married,82,61,26,91,25,252,592,49,37,38
168,110,Car,Finance,Bachelor,5,Full-Time,Male,50,FALSE,Senior,18,Single,19,24,13,36,9,105,224,11,16,16
22,18,Car,Finance,Bachelor,1,Full-Time,Male,0,TRUE,Intern/Fresher,1,Single,0,0,1,6,1,22,10,2,2,3
26,26,Car,Finance,Bachelor,1,Full-Time,Male,4,TRUE,Junior,1,Married,1,0,3,7,1,6,22,3,3,4
47,47,Car,Finance,Bachelor,2,Full-Time,Male,3,TRUE,Junior,5,Single,0,0,7,14,2,17,41,6,8,3
67,28,Car,Finance,Bachelor,2,Full-Time,Male,20,TRUE,Mid,3,Single,7,0,6,15,5,22,70,5,8,8
49,28,Car,Finance,Bachelor,2,Full-Time,Other,5,FALSE,Junior,6,Single,1,0,3,14,3,16,43,7,7,4
192,67,Car,Finance,Bachelor,5,Full-Time,Other,48,FALSE,Mid,13,Single,26,0,10,37,11,65,173,16,15,16
114,22,Car,Finance,Bachelor,3,Full-Time,Other,39,FALSE,Senior,12,Single,16,9,6,23,7,49,140,7,8,6
22,12,Car,Finance,Bachelor,1,Full-Time,Other,0,TRUE,Intern/Fresher,4,Single,0,0,1,6,1,23,10,1,5,2
32,12,Car,Finance,Bachelor,1,Full-Time,Other,10,TRUE,Mid,3,Single,3,0,2,6,1,14,35,2,1,4
123,77,Car,Finance,Bachelor,5,Part-Time,Female,9,FALSE,Junior,19,Single,4,0,11,36,8,36,105,19,18,20
242,71,Car,Finance,Bachelor,5,Part-Time,Female,77,FALSE,Lead,19,Married,42,31,11,32,9,131,288,15,19,12
33,26,Car,Finance,Bachelor,1,Part-Time,Female,11,FALSE,Mid,1,Married,3,0,0,6,2,12,36,1,4,4
28,15,Car,Finance,Bachelor,1,Part-Time,Female,6,FALSE,Mid,4,Single,2,0,2,8,2,13,33,1,3,1
172,77,Car,Finance,Bachelor,4,Part-Time,Female,66,FALSE,Senior,12,Married,27,19,13,27,8,76,193,8,13,7
75,33,Car,Finance,Bachelor,2,Part-Time,Female,31,FALSE,Senior,9,Single,9,5,3,14,3,40,95,8,7,10
154,99,Car,Finance,Bachelor,6,Part-Time,Male,21,FALSE,Junior,19,Single,5,0,8,39,14,46,130,15,16,18
60,19,Car,Finance,Bachelor,1,Part-Time,Male,12,FALSE,Lead,4,Divorced,12,8,5,8,3,26,56,2,4,3
46,26,Car,Finance,Bachelor,1,Part-Time,Male,17,FALSE,Lead,2,Married,8,9,1,8,3,21,58,5,2,3
33,22,Car,Finance,Bachelor,1,Part-Time,Male,3,FALSE,Mid,5,Single,3,0,0,8,1,13,32,5,5,3
166,83,Car,Finance,Bachelor,4,Part-Time,Male,70,FALSE,Senior,14,Married,25,27,9,30,7,78,195,14,10,9
27,22,Car,Finance,Bachelor,1,Part-Time,Male,5,FALSE,Senior,3,Single,1,3,4,6,1,22,42,4,1,4
27,19,Car,Finance,Bachelor,1,Part-Time,Male,3,TRUE,Junior,4,Married,1,0,1,8,1,10,22,2,5,3
27,6,Car,Finance,Bachelor,1,Part-Time,Male,5,TRUE,Junior,4,Single,1,0,3,8,2,5,22,3,5,4
32,9,Car,Finance,Bachelor,1,Part-Time,Male,10,TRUE,Mid,1,Married,3,0,2,7,4,11,35,1,1,2
46,6,Car,Finance,Bachelor,1,Part-Time,Other,11,FALSE,Lead,1,Single,8,3,3,6,2,25,56,1,1,4
43,21,Car,Finance,Bachelor,1,Part-Time,Other,21,FALSE,Mid,5,Single,7,0,2,8,1,12,40,5,4,1
68,38,Car,Finance,High School,3,Full-Time,Female,2,FALSE,Intern/Fresher,7,Single,0,0,8,22,6,69,30,5,8,12
142,129,Car,Finance,High School,6,Full-Time,Female,10,FALSE,Junior,23,Single,1,0,12,47,9,43,124,19,17,18
49,26,Car,Finance,High School,2,Full-Time,Female,5,TRUE,Junior,4,Single,1,0,1,14,9,16,42,9,3,5
23,28,Car,Finance,High School,1,Full-Time,Male,1,FALSE,Intern/Fresher,3,Single,0,0,1,7,3,26,10,5,2,1
25,5,Car,Finance,High School,1,Full-Time,Male,3,FALSE,Junior,5,Married,1,0,4,8,3,7,22,4,2,3
75,54,Car,Finance,High School,3,Full-Time,Male,9,FALSE,Junior,12,Single,1,0,7,22,6,28,64,9,9,7
29,20,Car,Finance,High School,1,Part-Time,Female,7,FALSE,Junior,5,Single,2,0,2,6,3,5,24,5,5,1
45,39,Car,Finance,High School,2,Part-Time,Male,1,FALSE,Intern/Fresher,5,Single,0,0,4,15,6,51,20,7,4,6
52,18,Car,Finance,High School,2,Part-Time,Male,8,FALSE,Junior,8,Single,2,0,5,15,2,14,44,6,2,2
30,24,Car,Finance,Master,1,Contract,Female,8,FALSE,Mid,4,Single,2,0,3,7,2,13,34,4,5,2
39,12,Car,Finance,Master,1,Contract,Female,2,FALSE,Senior,4,Married,5,6,1,5,1,17,41,4,1,1
35,24,Car,Finance,Master,1,Contract,Female,1,TRUE,Senior,3,Married,4,2,2,6,3,20,40,2,1,5
98,61,Car,Finance,Master,3,Full-Time,Female,27,FALSE,Senior,12,Married,10,19,2,21,3,64,134,9,9,14
43,22,Car,Finance,Master,1,Full-Time,Female,20,FALSE,Senior,3,Single,7,2,3,7,1,15,50,3,1,4
50,15,Car,Finance,Master,1,Full-Time,Male,15,FALSE,Lead,3,Married,9,7,3,6,1,29,58,3,4,5
125,75,Car,Finance,Master,3,Full-Time,Male,55,FALSE,Mid,10,Married,19,0,6,20,3,40,117,9,7,8
35,13,Car,Finance,Master,1,Full-Time,Male,13,FALSE,Mid,5,Single,4,0,2,6,1,12,36,3,2,1
53,11,Car,Finance,Master,1,Full-Time,Male,2,FALSE,Senior,5,Divorced,10,7,2,7,3,20,41,1,5,1
56,8,Car,Finance,Master,1,Full-Time,Male,6,FALSE,Senior,4,Married,11,8,1,8,1,24,43,3,1,4
47,5,Car,Finance,Master,1,Full-Time,Male,24,TRUE,Lead,3,Married,8,3,3,6,2,24,62,2,1,2
41,9,Car,Finance,Master,1,Full-Time,Other,19,FALSE,Senior,3,Single,6,4,3,7,1,19,50,5,2,5
105,26,Car,Finance,Master,2,Part-Time,Female,29,FALSE,Senior,7,Married,20,6,6,13,3,45,95,7,9,6
83,56,Car,Finance,Master,2,Part-Time,Female,33,FALSE,Senior,8,Single,12,6,6,14,9,31,97,5,6,6
52,20,Car,Finance,Master,1,Part-Time,Male,27,FALSE,Lead,4,Married,10,5,3,7,4,30,64,5,3,4
79,31,Car,Finance,Master,2,Part-Time,Male,18,FALSE,Senior,6,Married,11,12,2,12,4,37,89,9,7,9
31,29,Car,Finance,Master,1,Part-Time,Male,4,TRUE,Mid,3,Divorced,3,0,2,6,4,10,32,3,1,5
26,10,Car,Finance,Master,1,Part-Time,Male,4,TRUE,Senior,4,Married,1,3,2,7,3,15,42,2,5,2
38,5,Car,Finance,Master,1,Part-Time,Other,16,FALSE,Mid,3,Single,5,0,0,6,1,15,38,4,4,3
53,8,Car,Finance,PhD,1,Contract,Male,9,FALSE,Lead,2,Divorced,10,9,1,6,1,27,54,2,4,5
58,5,Car,Finance,PhD,1,Full-Time,Female,13,FALSE,Lead,3,Married,12,7,2,7,1,28,56,3,5,3
113,40,Car,Finance,PhD,2,Full-Time,Male,42,FALSE,Lead,6,Married,23,6,5,14,3,51,122,5,6,7
54,28,Car,Finance,PhD,1,Full-Time,Male,11,FALSE,Lead,4,Widowed,10,4,2,7,1,28,56,4,2,3
